concurso,data_sorteio,bola1,bola2,bola3,bola4,bola5,bola6,bola7,bola8,bola9,bola10,bola11,bola12,bola13,bola14,bola15,arrecadacao_total,ganhadores_15_numeros,ganhadores_14_numeros,ganhadores_13_numeros,ganhadores_12_numeros,ganhadores_11_numeros,valor_rateio_15_numeros,valor_rateio_14_numeros,valor_rateio_13_numeros,valor_rateio_12_numeros,valor_rateio_11_numeros,acumulado_15_numeros,estimativa_premio,valor_acumulado_especial
54,04/10/2004,22,8,12,9,21,5,20,4,24,2,7,6,14,16,18,0,27,2269,40058,272073,1157000,"46149,84","234,47",10,4,2,0,0,0
55,11/10/2004,4,6,12,15,2,3,13,16,8,9,7,25,5,18,19,0,6,682,24083,253488,1334310,"213174,74","803,76",10,4,2,0,0,0
56,18/10/2004,19,1,5,14,16,15,17,2,13,22,20,12,23,9,24,0,0,401,17323,225472,1396834,0,"1427,28",10,4,2,"1335461,47",0,0
57,25/10/2004,25,17,8,11,3,6,19,22,21,7,20,1,4,12,2,0,1,571,33796,229355,1390034,"3278857,27","1458,64",10,4,2,0,0,0
58,01/11/2004,20,14,11,13,19,18,15,16,5,3,6,12,17,22,4,0,6,559,17361,165098,1095964,"294482,82","1354,64",10,4,2,0,0,0
59,08/11/2004,6,8,14,1,23,20,3,15,25,11,5,7,13,10,19,0,2,662,27187,351810,1707263,"439884,44","567,39",10,4,2,0,0,0
60,16/11/2004,17,22,16,5,3,2,18,8,25,11,1,19,4,23,24,0,3,362,30873,165747,1022631,"485556,53","1724,55",10,4,2,0,0,0
61,22/11/2004,4,15,1,23,9,14,12,11,13,19,25,16,22,5,20,0,2,300,14553,253317,1311870,"698017,29","1994,34",10,4,2,0,0,0
62,29/11/2004,9,7,1,13,20,11,3,17,25,8,14,16,15,18,24,0,5,432,19513,234116,1336449,"282087,66","1399,25",10,4,2,0,0,0
63,06/12/2004,13,19,22,17,10,4,25,9,24,8,16,11,21,12,20,0,2,379,15221,209528,1301392,"870856,42","1969,52",10,4,2,0,0,0
64,13/12/2004,13,1,10,6,25,23,14,9,7,2,18,8,20,3,17,0,4,525,20308,280806,1586899,"323455,35","1056,18",10,4,2,0,0,0
65,20/12/2004,23,19,10,7,1,17,4,2,22,16,21,15,20,18,25,0,0,300,13067,218281,1147456,0,"2735,19",10,4,2,"1914633,24",0,0
66,27/12/2004,8,10,23,17,11,20,2,14,21,22,15,16,24,4,1,0,8,834,25470,309390,1631513,"434105,49","800,73",10,4,2,0,0,0
67,03/01/2005,7,24,13,20,16,5,21,12,11,8,15,22,23,10,9,0,4,294,12324,205063,1212285,"394429,73","2299,88",10,4,2,0,0,0
68,10/01/2005,9,1,25,16,6,3,5,22,7,12,8,10,2,17,23,0,2,368,14579,211030,1291340,"853689,74","1988,41",10,4,2,0,0,0
69,17/01/2005,23,7,11,15,4,17,20,8,9,24,1,18,21,10,19,0,4,619,34720,283047,1543014,"296233,16","820,4",10,4,2,0,0,0
70,24/01/2005,14,5,9,24,6,15,12,19,20,1,2,25,16,10,3,0,6,611,19413,230116,1265554,"264323,93","1112,42",10,4,2,0,0,0
71,31/01/2005,13,3,22,5,1,21,23,6,8,11,15,18,14,16,9,0,4,744,21490,276234,1289869,"349187,58","804,58",10,4,2,0,0,0
72,09/02/2005,2,16,5,25,23,11,18,13,24,15,1,7,8,12,17,0,2,485,16561,198957,1178585,"571665,39","1010,31",10,4,2,0,0,0
73,14/02/2005,25,17,18,2,16,19,15,13,14,5,21,11,7,1,10,0,3,401,16615,240646,1388168,"404461,66","1296,82",10,4,2,0,0,0
74,21/02/2005,8,25,3,1,2,22,16,4,5,15,6,18,13,23,11,0,7,861,36320,325482,1342101,"165704,35","575,18",10,4,2,0,0,0
75,28/02/2005,10,8,3,16,7,25,20,4,13,6,11,15,17,5,1,0,2,564,22764,330303,1538522,"531264,65","807,39",10,4,2,0,0,0
76,07/03/2005,15,5,12,10,19,16,21,17,25,9,13,1,23,8,3,0,13,2705,63452,463129,1672037,"49566,81","101,71",10,4,2,0,0,0
77,14/03/2005,6,20,4,9,11,17,3,8,2,21,24,14,22,25,18,0,4,742,21609,228257,1213259,"434837,87","1004,63",10,4,2,0,0,0
78,21/03/2005,15,5,17,23,1,8,7,20,16,6,12,18,3,2,13,0,1,643,23291,317982,1617133,"1007644,94","669,06",10,4,2,0,0,0
79,28/03/2005,15,14,17,2,22,24,5,23,20,9,12,18,25,1,3,0,1,443,17526,230930,1249856,"1429789,18","1383,22",10,4,2,0,0,0
80,04/04/2005,17,22,25,7,20,3,18,10,4,1,14,9,2,5,15,0,1,502,19706,292151,1294632,"1387219,92","1184,31",10,4,2,0,0,0
81,11/04/2005,13,2,7,19,17,15,1,4,6,21,3,11,5,16,10,0,6,866,29787,387171,1619963,"160734,67","475,46",10,4,2,0,0,0
82,18/04/2005,4,8,19,12,23,17,13,20,1,18,6,15,5,22,9,0,4,636,20746,250768,1418972,"378128,77","1019,22",10,4,2,0,0,0
83,25/04/2005,23,10,25,20,14,3,1,6,2,11,8,13,12,24,5,0,3,505,19766,290953,1615749,"370701,93","943,79",10,4,2,0,0,0
84,02/05/2005,15,22,8,25,6,4,16,1,2,24,19,20,17,23,12,0,2,525,21813,263703,1419482,"729194,11","1190,52",10,4,2,0,0,0
85,09/05/2005,1,2,11,21,16,8,23,7,18,22,14,15,5,13,9,0,13,988,41716,303054,1673514,"86488,6","485,87",10,4,2,0,0,0
86,16/05/2005,13,19,12,18,5,6,9,24,23,4,17,8,25,2,14,0,14,1437,33924,344925,1583126,"81060,95","337,18",10,4,2,0,0,0
87,23/05/2005,11,3,18,25,5,24,13,8,15,10,9,22,1,2,20,0,14,1308,46044,353024,1711252,"62917,54","287,52",10,4,2,0,0,0
88,30/05/2005,8,10,18,24,11,1,17,2,25,9,14,19,12,4,5,0,5,853,30153,318718,1383793,"257018,77","643,22",10,4,2,0,0,0
89,06/06/2005,23,16,1,12,21,25,17,19,13,20,24,15,6,11,22,0,2,528,59274,230638,1266634,"858145,42","1393,1",10,4,2,0,0,0
90,13/06/2005,22,10,11,8,17,20,23,3,21,1,15,25,2,12,24,0,4,525,17979,236987,1539050,"400382,66","1307,37",10,4,2,0,0,0
91,20/06/2005,16,23,1,25,22,14,9,13,11,10,12,15,4,20,17,0,2,428,23937,203510,1341264,"880833,62","1764,02",10,4,2,0,0,0
92,27/06/2005,17,6,4,1,8,15,2,19,14,13,12,18,21,24,22,0,5,714,22604,257642,1433995,"290246,68","871,09",10,4,2,0,0,0
